post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2782107315177997,173,14,,,,,
2782100265178702,374,44,,,,,
2782080768513985,338,38,,,,,
2775600405828688,28,2,,,,,
2771783336210395,111,9,,,1,,
2775583875830341,87,11,,,,,
2775618849160177,52,3,,,,,
2771771919544870,124,7,,,,,
2771761812879214,178,17,,,,,
2771756829546379,110,9,,,,,
2771748242880571,45,4,,,,,
null,,,,,,,
2775551812500214,45,3,,,,,
2771718726216856,172,14,,,,,
2771740646214664,"1,7&nbsp;mil",375,,,,357,
2771726279549434,161,46,,,,6,
2771698449552217,78,3,,,,,
2771694519552610,165,16,,,,,
2771631999558862,70,6,,,,,
2771578976230831,110,25,,,,,
2771589719563090,115,7,,,,,
2771550836233645,89,7,,,,,
2771292642926131,"1,4&nbsp;mil",62,,,,41,
2770752622980133,161,7,,,,,
2770745119647550,82,5,,,,,
2769283189793743,108,4,,,,,
2750790328309696,110,6,,,,,
2750787818309947,83,5,,,,,
2750782341643828,39,1,,,,,
2750779411644121,161,10,,,,,
2760585623996833,69,4,,,,,
2750775084977887,117,4,,,,,
2764443200277742,65,7,,,,,
2750755858313143,248,27,,,,,
2750751808313548,231,22,,,,,
2675041992551197,24,,,,1,,
2750746144980781,133,9,,,,,
2760796017309127,214,18,,,,,
2750743324981063,187,31,,,,,
2750736658315063,220,16,,,,,
2750720221650040,53,,,,,,
2750722358316493,72,1,,,,,
2750717261650336,29,2,,,,,
2750707234984672,201,22,,,1,,
2750705518318177,40,2,,,,,
2750691228319606,255,30,,,,,
2743915318997197,58,1,,,,,
2742474605807935,149,10,,,,,
2742473035808092,368,59,,,1,,
2675036942551702,45,,,,,,
2742470502475012,86,5,,,,,
2742450259143703,124,5,,,,1,
2742280999160629,98,8,,,,,
2742299329158796,225,59,,,,,
2742253229163406,109,3,,,,1,
2742249415830454,120,11,,,,,
2743898278998901,67,8,,,1,,
2742219052500157,112,8,,,,,
2742208642501198,162,23,,,,,
2742184052503657,28,1,,,,,
2741967829191946,264,34,,,,,
2742175679171161,70,9,,,1,,
2741936199195109,104,6,,,,,
2741918522530210,237,31,,,,,
2741909875864408,546,57,,,1,,
2741914515863944,201,15,,,,,
2729611750427554,334,49,,,,2,
2729227040466025,79,4,,,,,
2729218147133581,468,54,,,,,
2729116163810446,251,26,,,,,
2719299144792148,52,4,,,,,
2729112650477464,193,19,,,,,
2729110060477723,"1,6&nbsp;mil",196,,,,6,
2731427746912621,81,24,,,,1,
2729101427145253,580,119,,,,,
2729098353812227,17&nbsp,mil,"3,7&nbsp;mil",,,54,
2675022489219814,54,2,,,,1,
2729048390483890,888,199,,,,1,
2729044840484245,142,17,,,,,
2729081327147263,253,17,,,,,
2729078580480871,24,,,,,,
2729049750483754,271,62,,,,17,
2728761110512618,136,7,,,,,
2721429161245813,267,20,,,,,
2726990780689651,178,31,,,,,
2726981467357249,119,5,,,,,
2716692525052810,142,7,,,,,
2716694111719318,95,9,,,,,
2721424907912905,176,6,,,,,
2703250949730301,24,1,,,,,
2716675611721168,142,12,,,,,
2719293784792684,43,1,,,,,
2716667431721986,142,15,,,,1,
2716662521722477,152,10,,,,,
2716655008389895,266,22,,,,,
2702512503137479,395,25,,,,2,
2716653115056751,422,53,,,,2,
2716510451737684,165,11,,,,,
2716495628405833,147,7,,,,,
2714797098575686,196,10,,,,,
2714784055243657,110,8,,,,,
2702515113137218,20,,,,,,
2712942322094497,266,18,,,,,
2710803762308353,139,8,,,,,
2688828501172546,37,3,,,,,
2710789172309812,99,7,,,,,
2708996802489049,122,,,,,,
2703201273068602,19,,,,,,
2703184589736937,222,12,,,,,
2699242243464505,269,23,,,,,
2699261006795962,83,4,,,,,
2699233760132020,160,18,,,,,
2699219106800152,335,46,,,,,
2675029059219157,80,3,,,,,
2699182500137146,97,6,,,,,
2699251176796945,82,,,,,,
