post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2813783508652687,,,,,,,
2812003672164004,,,,,,,
2811743788856659,,,,,,,
2811206668910371,,,,,,,
2810923645605340,,,,,,,
2809429039088134,,,,,,,
2809256915772013,,,,,,,
2809005552463816,,,,,,,
2808601129170925,,,,,,,
2808218242542547,,,,,,,
2807062805991424,,,,,,,
2805952892769082,,,,,,,
2794706297227075,,,,,,,
2792635267434178,,,,,,,
2791509717546733,,,,,,,
2790311847666520,,,,,,,
2781087805255591,,,,,,,
2781087405255631,,,,,,,
2781002881930750,,,,,,,
2778212292209809,,,,,,,
2777910615573310,,,,,,,
2776581402372898,,,,,,,
2776548775709494,,,,,,,
2776511042379934,,,,,,,
2776484315715940,,,,,,,
2776397902391248,14.0,2.0,,,,,
2776369875727384,,,,,,,
2776255899072115,,,,,,,
2771476089550096,,,,,,,
2771363316228040,,,,,,,
2771219559575749,53.0,1.0,,,,,
2769461649751540,,,,,,,
2769131279784577,,,,,,,
2767557763275262,,,,,,,
2766863180011387,,,,,,,
2766851303345908,,,,,,,
2766820123349026,,,,,,,
2766817376682634,,,,,,,
2763387213692317,,,,,,,
2763226480375057,,,,,,,
2763140563716982,,,,,,,
2758764254154613,,,,,,,
2758582024172836,,,,,,,
2756243517740020,,,,,,,
2755873537777018,,,,,,,
2754435577920814,,,,,,,
2752516518112720,,,,,,,
2751957351501970,,,,,,,
2751826761515029,,,,,,,
2751826744848364,,,,,,,
2750165661681139,,,,,,,
2748012668563105,74.0,9.0,,,,,
2746147792082926,,,,,,,
2745994792098226,,,,,,,
2744150578949314,,,,,,,
2744035072294198,,,,,,,
2741611692536536,,,,,,,
2739030232794682,,,,,,,
2739028166128222,,,,,,,
2737415322956173,,,,,,,
2737355282962177,,,,,,,
2737104152987290,,,,,,,
2733076530056719,,,,,,,
2731037190260653,,,,,,,
2731036896927349,,,,,,,
2730623743635331,,,,,,,
2730002230364149,,,,,,,
2728769410487431,,,,,,,
2723643721000000,,,,,,,
2721860611178311,,,,,,,
2721810521183320,,,,,,,
2721020844595621,,,,,,,
2719784728052566,,,,,,,
2719724984725207,,,,,,,
2717748641589508,,,,,,,
2717689528262086,,,,,,,
2717662204931485,,,,,,,
2717069078324131,,,,,,,
2715564035141302,25.0,4.0,,,,,
2715427621821610,,,,,,,
2708699679161071,,,,,,,
2708698259161213,,,,,,,
2708693269161712,,,,,,,
2705027522861620,,,,,,,
2704957286201977,,,,,,,
2704902522874120,,,,,,,
2704457572918615,,,,,,,
2703055793058793,,,,,,,
2701054206592285,,,,,,,
2701034113260961,,,,,,,
2699051423459230,,,,,,,
2698979786799727,,,,,,,
2698880543476318,,,,,,,
2696745073689865,,,,,,,
2696476610383378,,,,,,,
2694484793915893,,,,,,,
2692913624073010,,,,,,,
2690933387604367,,,,,,,
2690676854296687,,,,,,,
2687042077993498,,,,,,,
2687041677993538,,,,,,,
2686920181339021,,,,,,,
2686694024694970,12.0,,,,,,
2686690218028684,3.0,,,,,,
2682785195085853,,,,,,,
2682571051773934,,,,,,,
2680884955275877,,,,,,,
2675157679181938,,,,,,,
2671251346239238,,,,,,,
2659621190735587,,,,,,,
2657746830923023,,,,,,,
2657673840930322,,,,,,,
2657570994273940,,,,,,,
2655631201134586,,,,,,,
2655630231134683,,,,,,,
2655628767801496,,,,,,,
2655627271134979,,,,,,,
2655626591135047,,,,,,,
2650292868335086,,,,,,,
2650246635006376,,,,,,,
2648404165190623,,,,,,,
2648273795203660,,,,,,,
2646561485374891,,,,,,,
2642653042432402,,,,,,,
2642651489099224,,,,,,,
2634917283205978,,,,,,,
2633062866724753,,,,,,,
2628708180493555,,,,,,,
2624892237541816,,,,,,,
2623323477698692,,,,,,,
2621422797888760,,,,,,,
2619104214787285,,,,,,,
2615289131835460,,,,,,,
2610947968936243,,,,,,,
2609984232365950,,,,,,,
2609837232380650,,,,,,,
2608238815873825,,,,,,,
2608130979217942,,,,,,,
2608076769223363,,,,,,,
2606503396047367,,,,,,,
2606426366055070,35.0,3.0,,,,,
2606323966065310,,,,,,,
2605927279438312,,,,,,,
2602705486427158,,,,,,,
2602393563125017,,,,,,,
2600560999974940,,,,,,,
2597382483626125,,,,,,,
2597243473640026,,,,,,,
2595592237138483,,,,,,,
2595389087158798,,,,,,,
2595341780496862,,,,,,,
2593705923993781,,,,,,,
2591637767533930,,,,,,,
2591566334207740,,,,,,,
2589441977753509,,,,,,,
2589113857786321,,,,,,,
2586039424760431,,,,,,,
2584208014943572,,,,,,,
2583805558317151,,,,,,,
2583706698327037,,,,,,,
2580733728624334,,,,,,,
2579141948783512,,,,,,,
2579004788797228,,,,,,,
2570290383002002,,,,,,,
2566635470034160,,,,,,,
2556045121093195,,,,,,,
2554125831285124,,,,,,,
2540407499323624,12.0,3.0,,,,,
2539080442789663,,,,,,,
2532054440158930,,,,,,,
2530568410307533,,,,,,,
2530503626980678,,,,,,,
2528841727146868,,,,,,,
2528829487148092,,,,,,,
2528697683827939,,,,,,,
2527074910656883,,,,,,,
2526932220671152,2.0,,,,,,
410528926471726,4.0,,,,,,
2526059320758442,,,,,,,
2524925604205147,,,,,,,
2524830997547941,,,,,,,
2521546997876341,,,,,,,
2521436351220739,,,,,,,
2519823224715385,,,,,,,
2519730538057987,,,,,,,
2519635211400853,,,,,,,
2518924824805225,8.0,1.0,,,,,
2516609245036783,,,,,,,
2516609011703473,,,,,,,
2514028238628217,,,,,,,
2512427395454968,,,,,,,
2510700952294279,,,,,,,
2508326039198437,,,,,,,
2507554365942271,,,,,,,
2507452485952459,,,,,,,
2507394022624972,,,,,,,
2505609632803411,,,,,,,
2505587849472256,,,,,,,
2505428189488222,,,,,,,
2503642026333505,,,,,,,
2499335850097456,,,,,,,
2498978196799888,,,,,,,
2497368713627503,,,,,,,
2495926337105074,,,,,,,
2495822343782140,,,,,,,
2495742167123491,,,,,,,
2494907013873673,,,,,,,
2493999193964455,,,,,,,
2493928097304898,,,,,,,
2492021224162252,,,,,,,
2491948354169539,,,,,,,
2491882717509436,,,,,,,
2491159470915094,,,,,,,
2490210731009968,,,,,,,
2490043771026664,,,,,,,
2489986914365683,,,,,,,
2488369454527429,,,,,,,
2488274087870299,,,,,,,
2488168844547490,,,,,,,
2483697061661335,,,,,,,
2482552198442488,,,,,,,
2482452181785823,,,,,,,
2480800168617691,,,,,,,
2480771241953917,,,,,,,
2480736995290675,,,,,,,
2476962819001426,,,,,,,
2476907332340308,119.0,14.0,,,,,
2475214252509616,,,,,,,
2475145189183189,,,,,,,
2475084515855923,,,,,,,
2474433265921048,45.0,3.0,,,,,
2474432685921106,105.0,9.0,,,,,
2467698309927877,27.0,6.0,,,,,
2467696696594705,53.0,6.0,,,,,
2467692069928501,28.0,6.0,,,,,
2467691529928555,255.0,12.0,,,,,
2467295703301471,,,,,,,
2467284019969306,41.0,4.0,,,,,
2465739543457087,220.0,17.0,,,,,
2465739010123807,49.0,1.0,,,,,
2454609797903395,60.0,1.0,,,,,
2454611974569844,80.0,,,,,,
2454223951275313,,,,,,,
2452982561399452,401.0,52.0,,,,,
2452924101405298,47.0,1.0,,,,,
2452591481438560,64.0,6.0,,,,,
2451298591567849,30.0,3.0,,,,,
2442604319103943,352.0,25.0,,,,1.0,
2442601872437521,179.0,6.0,,,,,
2442599972437711,268.0,16.0,,,,,
2440843002613408,162.0,7.0,,,,,1.0
2440841642613544,48.0,1.0,,,,,
2440841229280252,165.0,6.0,,,,,
2439191536111888,51.0,,,,,,
2439190439445331,62.0,5.0,,,,,
2439184319445943,43.0,1.0,,,,,
2437453462952362,36.0,,,,,,
2437450762952632,28.0,1.0,,,,,
2437449989619376,53.0,1.0,,,,,
2432190946811947,91.0,6.0,,,1.0,,
2432189986812043,23.0,,,,,1.0,
2432172420147133,42.0,,,,,,
2432171536813888,86.0,2.0,,,,,
2432170826813959,231.0,11.0,,,,,
2430568286974213,374.0,16.0,,,,,
2430567543640954,11.0,,,,,,
2430565566974485,115.0,6.0,,,,,
2428735747157467,353.0,29.0,,,,,
2428734400490935,37.0,,,,,,
2428732630491112,31.0,1.0,,,,,
2428702800494095,46.0,2.0,,,,,
2428700840494291,41.0,1.0,,,,,
2425109330853442,67.0,2.0,,,,,
2425101817520860,112.0,2.0,,,,,
2425099674187741,207.0,12.0,,,,,
2420128908018151,12.0,,,,,,
2420128274684881,8.0,,,,,,
