post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2879311158790945,96.0,11.0,,2.0,,,
2955902804465113,329.0,37.0,,2.0,,,
2955886124466781,56.0,6.0,,,,,
2955879701134090,204.0,55.0,,,,43.0,
2955552321166828,54.0,6.0,,,,,
2955730601149000,90.0,22.0,,2.0,,,
2957335060988554,60.0,9.0,,1.0,,,
2955412441180816,135.0,15.0,,,,,
2949827591739301,165.0,13.0,,1.0,,,
2949547518433975,108.0,8.0,,,,1.0,
2949564305098963,25.0,6.0,,,,,
2949541285101265,91.0,4.0,,,1.0,,
2948522348536492,92.0,13.0,,2.0,,,
2947538671968193,102.0,11.0,,3.0,,,
2922180831170644,174.0,27.0,,1.0,,,
2930197757035618,1.0,152.0,,,,51.0,
2930556720333055,633.0,86.0,,4.0,,,
2930700600318667,406.0,60.0,,,,,
2938680756187318,80.0,5.0,,,,,
2939076249481102,110.0,13.0,,3.0,,,
2936037513118309,25.0,7.0,,,,,
2930501150338612,336.0,32.0,,,,,
2935710283151032,68.0,14.0,,,,,
2922176151171112,170.0,34.0,,,1.0,,
2930495920339135,60.0,2.0,,,,1.0,
2930242007031193,159.0,17.0,,,,7.0,
2930209240367803,38.0,2.0,,,,,
2922173504504710,70.0,2.0,,,,,
2930170613704999,60.0,6.0,,2.0,,,
2897527196969341,278.0,28.0,,,,,
2926650764056984,126.0,12.0,,1.0,,,
2922169307838463,215.0,32.0,,1.0,,,
2924346367620757,61.0,12.0,,,,1.0,
2921772184544842,36.0,2.0,,,,,
2921794284542632,104.0,7.0,,,,1.0,
2921784794543581,34.0,3.0,,,,,
2921757687879625,70.0,9.0,,,,,
2921371471251580,238.0,24.0,,,,,
2920911284630932,222.0,23.0,,2.0,,,
2916996788355715,73.0,2.0,,,,,
2913985625323498,47.0,4.0,,,,,
2912669562121771,200.0,15.0,,,,,
2914634991925228,51.0,15.0,,6.0,,,
2911910075531053,219.0,19.0,,4.0,,,
2911906195531441,64.0,10.0,,1.0,,,
2906027522785975,81.0,8.0,,,,,
2905924942796233,54.0,1.0,,,,,
2897945946927466,750.0,152.0,,39.0,,,
2897429760312418,73.0,,,1.0,,,
2885781771477217,1.0,209.0,,62.0,,,
2897532580302136,115.0,16.0,,,,,
2902198809835513,118.0,16.0,,,,,
2897366473652080,66.0,3.0,,,,,
2900335580021836,91.0,28.0,,2.0,,,
2897394076982653,157.0,21.0,,2.0,,,
2895986237123437,132.0,12.0,,,,,
2895984480456946,3.0,375.0,,185.0,,,
2895776573811070,112.0,11.0,,,,,
2867792803276114,67.0,7.0,,,,,
2888005177921543,84.0,9.0,,,,1.0,
2891345327587528,4.0,660.0,,39.0,,,
2890343411021053,215.0,55.0,,,,,
2890792357642825,150.0,13.0,,,,,
2888358814552846,81.0,12.0,,,,,
2886543498067711,96.0,7.0,,,,3.0,
2885793841476010,143.0,17.0,,,,7.0,
2885768404811887,154.0,13.0,,,,,
2867797273275667,129.0,14.0,,,,,
2884130334975694,49.0,9.0,,,,,
2883103895078338,100.0,5.0,,,,,
2880877875300940,165.0,16.0,,1.0,,,
2880785031976891,552.0,120.0,,,,1.0,
2879304048791656,151.0,21.0,,,,,
2879475858774475,36.0,3.0,,,,,
2878614882193906,109.0,16.0,,,,,
2872684812786913,49.0,3.0,,,1.0,,
2867789013276493,287.0,56.0,,,,,
2869387243116670,155.0,23.0,,,,,
2860063800715681,124.0,11.0,,,,,
2869294999792561,3.0,195.0,,,,19.0,
2867904266598301,167.0,8.0,,,,,
2867892303266164,174.0,26.0,,,,,
2867082003347194,349.0,47.0,,,,,
2865893230132738,179.0,14.0,,,,1.0,
2860038894051505,10.0,1.0,,,,492.0,
2860026957386032,84.0,15.0,,,,2.0,
2856316704423724,102.0,10.0,,,,,
2856314214423973,834.0,28.0,,,,1.0,
2854114574643937,37.0,2.0,,,,,
2853910214664373,716.0,30.0,,,,14.0,
2851683454887049,691.0,43.0,,,,1.0,
2849940998394628,118.0,12.0,,,,,
2849729561749105,153.0,20.0,,,,,
2848896528499075,34.0,,,,,,
2846653388723389,42.0,5.0,,,,,
2843222955733099,77.0,8.0,,,,,
2840626199326108,40.0,2.0,,,,,
2838884909500237,649.0,75.0,,,,,1.0
2838473016208093,87.0,6.0,,,,,
2836831583038903,934.0,154.0,,,,9.0,
2836281239760604,73.0,11.0,,,,,
2950474728341254,97.0,1.0,,2.0,,,
2834389726616422,40.0,4.0,,,,,
2834373633284698,56.0,5.0,,,,,
2830552683666793,81.0,6.0,,,,,
2830055333716528,195.0,17.0,,,,,
2828387647216630,19.0,,,,,,
2828204327234962,84.0,4.0,,,,,
2825881617467233,28.0,3.0,,,,,
2825307814191280,119.0,2.0,,,,,
2823872231001505,106.0,18.0,,,,,
2823415351047193,52.0,6.0,,,,1.0,
2821026597952735,111.0,19.0,,,,,
2818930934828968,40.0,3.0,,,,,
2818634981525230,1.0,130.0,,,,198.0,
2817036725018389,2.0,259.0,,,,16.0,
2806103196111742,77.0,4.0,,,,,
2812419785480083,1.0,94.0,,,,24.0,
2806368742751854,80.0,5.0,,,,,
2800925059962889,75.0,15.0,,,,,
2801742919881103,31.0,1.0,,,,,
2801679156554146,214.0,20.0,,,,,
2801637949891600,179.0,18.0,,,,1.0,
2807670345955027,50.0,8.0,,,,,
2801302409925154,167.0,17.0,,,,,
2801556406566421,192.0,30.0,,,,,
2805465682842160,27.0,,,,,,
2801507709904624,99.0,12.0,,,,,
2803655839689811,45.0,10.0,,,,,
2801628979892497,137.0,15.0,,,,7.0,
2801445699910825,158.0,15.0,,,,,
2801381976583864,299.0,60.0,,,,,
2801066136615448,118.0,4.0,,,,,
2801002329955162,408.0,74.0,,,,,
2800902829965112,200.0,19.0,,,,,
2790460801009315,105.0,9.0,,,,1.0,
2790361344352594,94.0,7.0,,,,,
2790503551005040,53.0,7.0,,,,,
2790358574352871,93.0,10.0,,,1.0,,
2790291794359549,252.0,33.0,,,,,
2790286927693369,29.0,2.0,,,,,
2790257831029612,272.0,26.0,,,,,
2790244837697578,143.0,12.0,,,,,
2790205114368217,40.0,,,,,,
2782120331843362,102.0,14.0,,,,,
2782113685177360,123.0,5.0,,,,,
2782107315177997,171.0,14.0,,,,,
2782100265178702,373.0,44.0,,,,,
2782080768513985,337.0,38.0,,,,,
2775600405828688,28.0,2.0,,,,,
2771783336210395,111.0,9.0,,,1.0,,
2775583875830341,87.0,11.0,,,,,
